participant_id,condition,month,round,cell_index,decision_type,direction,followed,available_snapshot,invested,cas,literacy,is_HCI
P02,llm-control,2,2,6,decline,follow,0,100.42,,,1,0
P02,llm-control,2,3,7,follow,follow,1,165.29,45.69,0.2764232561,1,0
P02,llm-control,2,4,8,unfollow,unfollow,1,96.70,50.48,,1,0
P02,llm-control,3,1,9,decline,follow,0,98.38,,,1,0
P02,llm-control,3,2,10,follow,follow,1,154.98,46.20,0.2981029810,1,0
P02,llm-control,3,3,11,follow,follow,1,167.67,53.09,0.3166338641,1,0
P02,llm-control,3,4,12,decline,unfollow,0,90.74,,,1,0
P02,llm-control,4,1,13,follow,follow,1,110.28,59.67,0.5410772579,1,0
P02,llm-control,4,2,14,follow,follow,1,158.00,14.85,0.0939873418,1,0
P02,llm-control,4,3,15,follow,follow,1,173.59,100.54,0.5791808284,1,0
P02,llm-control,4,4,16,unfollow,unfollow,1,110.52,38.97,,1,0
P02,llm-control,5,1,17,zero_optout,follow,0,175.22,0.00,,1,0
P02,llm-control,5,2,18,follow,follow,1,195.93,16.27,0.0830398612,1,0
P02,llm-control,5,3,19,follow,follow,1,147.51,94.35,0.6396176530,1,0
P02,llm-control,5,4,20,unfollow,unfollow,1,149.63,35.75,,1,0
P03,llm-reasoning,1,1,1,follow,follow,1,89.49,65.74,0.7346072187,3,0
P03,llm-reasoning,1,2,2,follow,follow,1,85.69,35.23,0.4111331544,3,0
P03,llm-reasoning,1,3,3,follow,follow,1,87.75,63.88,0.7279772080,3,0
P03,llm-reasoning,1,4,4,unfollow,unfollow,1,110.94,15.11,,3,0
P03,llm-reasoning,2,1,5,follow,follow,1,112.16,38.26,0.3411198288,3,0
P03,llm-reasoning,2,2,6,decline,follow,0,149.72,,,3,0
P03,llm-reasoning,2,3,7,follow,follow,1,70.68,38.48,0.5444255801,3,0
P03,llm-reasoning,2,4,8,unfollow,unfollow,1,142.28,69.64,,3,0
P03,llm-reasoning,3,1,9,follow,follow,1,141.49,42.66,0.3015054067,3,0
P03,llm-reasoning,3,2,10,follow,follow,1,149.77,82.75,0.5525138546,3,0
P03,llm-reasoning,3,3,11,follow,follow,1,111.44,21.75,0.1951722900,3,0
P03,llm-reasoning,3,4,12,unfollow,unfollow,1,113.31,15.48,,3,0
P03,llm-reasoning,4,1,13,follow,follow,1,162.46,95.98,0.5907915795,3,0
P03,llm-reasoning,4,2,14,follow,follow,1,122.93,87.73,0.7136581795,3,0
P03,llm-reasoning,4,3,15,follow,follow,1,137.60,55.26,0.4015988372,3,0
P03,llm-reasoning,4,4,16,unfollow,unfollow,1,129.89,72.75,,3,0
P03,llm-reasoning,5,1,17,follow,follow,1,149.10,75.94,0.5093226023,3,0
P03,llm-reasoning,5,2,18,follow,follow,1,184.59,68.85,0.3729887860,3,0
P03,llm-reasoning,5,3,19,zero_optout,follow,0,137.73,0.00,,3,0
P03,llm-reasoning,5,4,20,unfollow,unfollow,1,161.57,55.28,,3,0
P04,llm-control,1,1,1,follow,follow,1,113.89,63.54,0.5579067521,2,0
P04,llm-control,1,2,2,follow,follow,1,63.56,28.09,0.4419446193,2,0
P04,llm-control,1,3,3,follow,follow,1,101.38,5.77,0.0569145788,2,0
P04,llm-control,1,4,4,unfollow,unfollow,1,76.98,50.60,,2,0
P04,llm-control,2,1,5,follow,follow,1,159.67,22.21,0.1390993925,2,0
P04,llm-control,2,2,6,follow,follow,1,106.58,30.32,0.2844811409,2,0
P04,llm-control,2,3,7,follow,follow,1,137.52,16.55,0.1203461315,2,0
P04,llm-control,2,4,8,unfollow,unfollow,1,112.35,74.42,,2,0
P04,llm-control,3,1,9,follow,follow,1,175.95,103.62,0.5889173061,2,0
P04,llm-control,3,2,10,follow,follow,1,179.70,33.86,0.1884251530,2,0
P04,llm-control,3,3,11,follow,follow,1,120.18,10.80,0.0898652022,2,0
P04,llm-control,3,4,12,unfollow,unfollow,1,177.98,17.47,,2,0
P04,llm-control,4,1,13,zero_optout,follow,0,104.35,0.00,,2,0
P04,llm-control,4,2,14,follow,follow,1,175.78,57.34,0.3262032086,2,0
P04,llm-control,4,3,15,follow,follow,1,92.42,73.67,0.7971218351,2,0
P04,llm-control,4,4,16,unfollow,unfollow,1,91.84,41.66,,2,0
P04,llm-control,5,1,17,decline,follow,0,136.76,,,2,0
P04,llm-control,5,2,18,follow,follow,1,109.47,29.09,0.2657349045,2,0
P04,llm-control,5,3,19,follow,follow,1,149.09,116.21,0.7794620699,2,0
P04,llm-control,5,4,20,decline,unfollow,0,163.31,,,2,0
P05,llm-reasoning,1,1,1,follow,follow,1,86.12,19.93,0.2314212726,3,1
P05,llm-reasoning,1,2,2,follow,follow,1,93.08,53.95,0.5796089385,3,1
P05,llm-reasoning,1,3,3,follow,follow,1,106.47,65.03,0.6107823800,3,1
P05,llm-reasoning,1,4,4,unfollow,unfollow,1,109.08,70.80,,3,1
P05,llm-reasoning,2,1,5,follow,follow,1,123.76,22.02,0.1779250162,3,1
P05,llm-reasoning,2,2,6,decline,follow,0,135.74,,,3,1
P05,llm-reasoning,2,3,7,follow,follow,1,76.44,44.48,0.5818942962,3,1
P05,llm-reasoning,2,4,8,unfollow,unfollow,1,157.93,50.22,,3,1
P05,llm-reasoning,3,1,9,follow,follow,1,106.38,66.86,0.6285015980,3,1
P05,llm-reasoning,3,2,10,follow,follow,1,95.56,50.37,0.5271033905,3,1
P05,llm-reasoning,3,3,11,follow,follow,1,107.70,12.78,0.1186629526,3,1
P05,llm-reasoning,3,4,12,unfollow,unfollow,1,89.26,52.45,,3,1
P05,llm-reasoning,4,1,13,follow,follow,1,166.32,71.10,0.4274891775,3,1
P05,llm-reasoning,4,2,14,follow,follow,1,168.51,83.86,0.4976559255,3,1
P05,llm-reasoning,4,3,15,follow,follow,1,169.36,108.66,0.6415918753,3,1
P05,llm-reasoning,4,4,16,unfollow,unfollow,1,131.35,34.96,,3,1
P05,llm-reasoning,5,1,17,follow,follow,1,131.47,67.45,0.5130448011,3,1
P05,llm-reasoning,5,2,18,follow,follow,1,139.30,80.32,0.5765972721,3,1
P05,llm-reasoning,5,3,19,follow,follow,1,111.14,32.05,0.2883750225,3,1
P05,llm-reasoning,5,4,20,unfollow,unfollow,1,112.46,73.86,,3,1
P06,llm-reasoning,1,1,1,follow,follow,1,149.48,118.65,0.7937516725,3,0
P06,llm-reasoning,1,2,2,follow,follow,1,91.61,34.20,0.3733216898,3,0
P06,llm-reasoning,1,3,3,follow,follow,1,96.34,56.12,0.5825202408,3,0
P06,llm-reasoning,1,4,4,unfollow,unfollow,1,66.16,47.87,,3,0
P06,llm-reasoning,2,1,5,follow,follow,1,115.27,80.30,0.6966253145,3,0
P06,llm-reasoning,2,2,6,follow,follow,1,158.82,43.12,0.2715023297,3,0
P06,llm-reasoning,2,3,7,follow,follow,1,116.80,23.08,0.1976027397,3,0
P06,llm-reasoning,2,4,8,unfollow,unfollow,1,135.50,58.78,,3,0
P06,llm-reasoning,3,1,9,follow,follow,1,123.82,77.00,0.6218704571,3,0
P06,llm-reasoning,3,2,10,follow,follow,1,87.29,27.64,0.3166456639,3,0
P06,llm-reasoning,3,3,11,follow,follow,1,98.95,55.15,0.5573521981,3,0
P06,llm-reasoning,3,4,12,unfollow,unfollow,1,114.29,29.12,,3,0
P06,llm-reasoning,4,1,13,decline,follow,0,142.95,,,3,0
P06,llm-reasoning,4,2,14,follow,follow,1,123.00,43.04,0.3499186992,3,0
P06,llm-reasoning,4,3,15,follow,follow,1,127.40,105.14,0.8252747253,3,0
P06,llm-reasoning,4,4,16,unfollow,unfollow,1,137.95,50.09,,3,0
P06,llm-reasoning,5,1,17,follow,follow,1,126.56,12.59,0.0994785082,3,0
P06,llm-reasoning,5,2,18,follow,follow,1,199.61,131.54,0.6589850208,3,0
P06,llm-reasoning,5,3,19,follow,follow,1,122.19,63.83,0.5223831737,3,0
P06,llm-reasoning,5,4,20,unfollow,unfollow,1,116.57,55.82,,3,0
P07,llm-control,1,1,1,follow,follow,1,84.10,9.82,0.1167657551,3,0
P07,llm-control,1,2,2,follow,follow,1,152.04,67.78,0.4458037359,3,0
P07,llm-control,1,3,3,follow,follow,1,93.76,6.66,0.0710324232,3,0
P07,llm-control,1,4,4,unfollow,unfollow,1,144.37,61.29,,3,0
P07,llm-control,2,1,5,decline,follow,0,97.64,,,3,0
P07,llm-control,2,2,6,decline,follow,0,76.79,,,3,0
P07,llm-control,2,3,7,follow,follow,1,110.29,87.04,0.7891921298,3,0
P07,llm-control,2,4,8,unfollow,unfollow,1,112.21,71.93,,3,0
P07,llm-control,3,1,9,follow,follow,1,106.36,29.27,0.2751974426,3,0
P07,llm-control,3,2,10,follow,follow,1,97.01,38.10,0.3927430162,3,0
P07,llm-control,3,3,11,follow,follow,1,124.94,33.04,0.2644469345,3,0
P07,llm-control,3,4,12,unfollow,unfollow,1,105.86,35.86,,3,0
P07,llm-control,4,1,13,follow,follow,1,142.35,89.20,0.6266245170,3,0
P07,llm-control,4,2,14,follow,follow,1,175.14,102.41,0.5847322142,3,0
P07,llm-control,4,3,15,follow,follow,1,140.29,57.44,0.4094375936,3,0
P07,llm-control,4,4,16,unfollow,unfollow,1,149.02,34.01,,3,0
P07,llm-control,5,1,17,follow,follow,1,138.84,43.82,0.3156150965,3,0
P07,llm-control,5,2,18,follow,follow,1,167.77,137.33,0.8185611254,3,0
P07,llm-control,5,3,19,follow,follow,1,157.28,38.50,0.2447863683,3,0
P07,llm-control,5,4,20,decline,unfollow,0,135.64,,,3,0
P08,llm-control,1,1,1,follow,follow,1,121.23,12.68,0.1045945723,2,0
P08,llm-control,1,2,2,follow,follow,1,132.93,37.41,0.2814263146,2,0
P08,llm-control,1,3,3,follow,follow,1,150.97,73.19,0.4847983043,2,0
P08,llm-control,1,4,4,unfollow,unfollow,1,60.54,34.81,,2,0
P08,llm-control,2,1,5,zero_optout,follow,0,139.91,0.00,,2,0
P08,llm-control,2,2,6,follow,follow,1,145.75,94.85,0.6507718696,2,0
P08,llm-control,2,3,7,follow,follow,1,128.49,44.08,0.3430617169,2,0
P08,llm-control,2,4,8,unfollow,unfollow,1,162.04,14.60,,2,0
P08,llm-control,3,1,9,follow,follow,1,101.89,64.15,0.6296005496,2,0
P08,llm-control,3,2,10,decline,follow,0,137.90,,,2,0
P08,llm-control,3,3,11,follow,follow,1,126.68,9.52,0.0751499842,2,0
P08,llm-control,3,4,12,unfollow,unfollow,1,103.57,38.15,,2,0
P08,llm-control,4,1,13,decline,follow,0,123.94,,,2,0
P08,llm-control,4,2,14,follow,follow,1,179.48,76.71,0.4274013818,2,0
P08,llm-control,4,3,15,follow,follow,1,153.19,24.14,0.1575820876,2,0
P08,llm-control,4,4,16,unfollow,unfollow,1,98.30,28.05,,2,0
P08,llm-control,5,1,17,follow,follow,1,153.51,119.50,0.7784509152,2,0
P08,llm-control,5,2,18,decline,follow,0,110.07,,,2,0
P08,llm-control,5,3,19,follow,follow,1,164.68,99.82,0.6061452514,2,0
P08,llm-control,5,4,20,unfollow,unfollow,1,186.59,30.51,,2,0
P09,llm-control,1,1,1,follow,follow,1,124.15,41.70,0.3358840113,2,1
P09,llm-control,1,2,2,follow,follow,1,78.39,53.90,0.6875877025,2,1
P09,llm-control,1,3,3,follow,follow,1,151.71,64.68,0.4263397271,2,1
P09,llm-control,1,4,4,unfollow,unfollow,1,133.34,31.04,,2,1
P09,llm-control,2,1,5,follow,follow,1,161.12,70.70,0.4388033764,2,1
P09,llm-control,2,2,6,follow,follow,1,145.64,74.85,0.5139384784,2,1
P09,llm-control,2,3,7,decline,follow,0,112.14,,,2,1
P09,llm-control,2,4,8,unfollow,unfollow,1,140.52,26.17,,2,1
P09,llm-control,3,1,9,follow,follow,1,177.28,52.19,0.2943930505,2,1
P09,llm-control,3,2,10,follow,follow,1,142.24,53.11,0.3733830146,2,1
P09,llm-control,3,3,11,follow,follow,1,94.85,39.67,0.4182393253,2,1
P09,llm-control,3,4,12,decline,unfollow,0,171.83,,,2,1
P09,llm-control,4,1,13,follow,follow,1,161.63,39.71,0.2456845883,2,1
P09,llm-control,4,2,14,follow,follow,1,153.16,68.57,0.4477017498,2,1
P09,llm-control,4,3,15,follow,follow,1,154.05,68.82,0.4467380721,2,1
P09,llm-control,4,4,16,unfollow,unfollow,1,100.05,46.86,,2,1
P09,llm-control,5,1,17,follow,follow,1,120.07,85.24,0.7099192138,2,1
P09,llm-control,5,2,18,decline,follow,0,184.79,,,2,1
P09,llm-control,5,3,19,follow,follow,1,158.87,126.54,0.7965002833,2,1
P09,llm-control,5,4,20,unfollow,unfollow,1,183.63,58.00,,2,1
P10,llm-reasoning,1,1,1,follow,follow,1,148.18,19.28,0.1301120259,2,0
P10,llm-reasoning,1,2,2,follow,follow,1,123.80,33.08,0.2672051696,2,0
P10,llm-reasoning,1,3,3,zero_optout,follow,0,128.21,0.00,,2,0
P10,llm-reasoning,1,4,4,unfollow,unfollow,1,129.29,70.26,,2,0
P10,llm-reasoning,2,1,5,follow,follow,1,80.21,35.63,0.4442089515,2,0
P10,llm-reasoning,2,2,6,decline,follow,0,94.34,,,2,0
P10,llm-reasoning,2,3,7,follow,follow,1,143.87,18.67,0.1297699312,2,0
P10,llm-reasoning,2,4,8,unfollow,unfollow,1,112.20,16.11,,2,0
P10,llm-reasoning,3,1,9,follow,follow,1,131.12,23.04,0.1757169005,2,0
P10,llm-reasoning,3,2,10,follow,follow,1,128.71,103.91,0.8073187786,2,0
P10,llm-reasoning,3,3,11,follow,follow,1,151.71,54.53,0.3594357656,2,0
P10,llm-reasoning,3,4,12,unfollow,unfollow,1,151.02,75.29,,2,0
P10,llm-reasoning,4,1,13,follow,follow,1,162.67,109.43,0.6727116248,2,0
P10,llm-reasoning,4,2,14,follow,follow,1,174.55,96.91,0.5551990834,2,0
P10,llm-reasoning,4,3,15,follow,follow,1,113.90,64.82,0.5690956980,2,0
P10,llm-reasoning,4,4,16,unfollow,unfollow,1,157.66,20.55,,2,0
P10,llm-reasoning,5,1,17,follow,follow,1,119.17,68.45,0.5743895276,2,0
P10,llm-reasoning,5,2,18,follow,follow,1,102.61,14.95,0.1456973005,2,0
P10,llm-reasoning,5,3,19,follow,follow,1,160.98,19.76,0.1227481675,2,0
P10,llm-reasoning,5,4,20,unfollow,unfollow,1,104.23,78.43,,2,0
P11,llm-reasoning,1,1,1,decline,follow,0,83.59,,,3,1
P11,llm-reasoning,1,2,2,decline,follow,0,94.88,,,3,1
P11,llm-reasoning,1,3,3,follow,follow,1,138.24,76.36,0.5523726852,3,1
P11,llm-reasoning,1,4,4,decline,unfollow,0,116.99,,,3,1
P11,llm-reasoning,2,1,5,follow,follow,1,149.16,69.46,0.4656744436,3,1
P11,llm-reasoning,2,2,6,follow,follow,1,160.03,64.26,0.4015497094,3,1
P11,llm-reasoning,2,3,7,follow,follow,1,168.80,71.51,0.4236374408,3,1
P11,llm-reasoning,2,4,8,unfollow,unfollow,1,164.87,56.73,,3,1
P11,llm-reasoning,3,1,9,follow,follow,1,161.15,37.24,0.2310890475,3,1
P11,llm-reasoning,3,2,10,follow,follow,1,174.53,165.55,0.9485475276,3,1
P11,llm-reasoning,3,3,11,follow,follow,1,148.56,61.84,0.4162627894,3,1
P11,llm-reasoning,3,4,12,unfollow,unfollow,1,171.05,29.94,,3,1
P11,llm-reasoning,4,1,13,follow,follow,1,119.97,80.76,0.6731682921,3,1
P11,llm-reasoning,4,2,14,zero_optout,follow,0,178.30,0.00,,3,1
P11,llm-reasoning,4,3,15,follow,follow,1,158.81,78.82,0.4963163529,3,1
P11,llm-reasoning,4,4,16,unfollow,unfollow,1,181.91,74.32,,3,1
P11,llm-reasoning,5,1,17,follow,follow,1,184.52,117.94,0.6391719055,3,1
P11,llm-reasoning,5,2,18,follow,follow,1,138.28,80.97,0.5855510558,3,1
P11,llm-reasoning,5,3,19,follow,follow,1,165.28,97.39,0.5892424976,3,1
P11,llm-reasoning,5,4,20,unfollow,unfollow,1,152.26,68.88,,3,1
P12,llm-control,1,1,1,follow,follow,1,64.80,33.37,0.5149691358,2,0
P12,llm-control,1,2,2,follow,follow,1,85.70,23.81,0.2778296383,2,0
P12,llm-control,1,3,3,follow,follow,1,150.43,34.29,0.2279465532,2,0
P12,llm-control,1,4,4,unfollow,unfollow,1,74.11,38.12,,2,0
P12,llm-control,2,1,5,follow,follow,1,118.19,99.29,0.8400879939,2,0
P12,llm-control,2,2,6,follow,follow,1,140.38,45.98,0.3275395355,2,0
P12,llm-control,2,3,7,follow,follow,1,166.51,27.49,0.1650951895,2,0
P12,llm-control,2,4,8,unfollow,unfollow,1,169.78,25.64,,2,0
P12,llm-control,3,1,9,follow,follow,1,149.66,93.15,0.6224107978,2,0
P12,llm-control,3,2,10,follow,follow,1,105.44,22.92,0.2173748103,2,0
P12,llm-control,3,3,11,follow,follow,1,138.02,17.11,0.1239675409,2,0
P12,llm-control,3,4,12,unfollow,unfollow,1,129.94,60.20,,2,0
P12,llm-control,4,1,13,follow,follow,1,132.71,59.76,0.4503051767,2,0
P12,llm-control,4,2,14,follow,follow,1,147.64,12.15,0.0822947711,2,0
P12,llm-control,4,3,15,follow,follow,1,152.56,124.10,0.8134504457,2,0
P12,llm-control,4,4,16,unfollow,unfollow,1,158.12,27.96,,2,0
P12,llm-control,5,1,17,follow,follow,1,138.93,81.61,0.5874181242,2,0
P12,llm-control,5,2,18,follow,follow,1,117.25,79.74,0.6800852878,2,0
P12,llm-control,5,3,19,follow,follow,1,183.32,102.10,0.5569495963,2,0
P12,llm-control,5,4,20,unfollow,unfollow,1,160.26,29.73,,2,0
P13,llm-control,1,1,1,follow,follow,1,119.43,28.32,0.2371263502,3,0
P13,llm-control,1,2,2,decline,follow,0,142.43,,,3,0
P13,llm-control,1,3,3,zero_optout,follow,0,94.97,0.00,,3,0
P13,llm-control,1,4,4,unfollow,unfollow,1,90.42,72.42,,3,0
P13,llm-control,2,1,5,zero_optout,follow,0,168.91,0.00,,3,0
P13,llm-control,2,2,6,zero_optout,follow,0,74.63,0.00,,3,0
P13,llm-control,2,3,7,follow,follow,1,75.94,17.53,0.2308401370,3,0
P13,llm-control,2,4,8,decline,unfollow,0,73.19,,,3,0
P13,llm-control,3,1,9,decline,follow,0,135.78,,,3,0
P13,llm-control,3,2,10,follow,follow,1,82.98,26.03,0.3136900458,3,0
P13,llm-control,3,3,11,follow,follow,1,99.77,11.64,0.1166683372,3,0
P13,llm-control,3,4,12,unfollow,unfollow,1,130.78,69.12,,3,0
P13,llm-control,4,1,13,follow,follow,1,90.95,48.70,0.5354590434,3,0
P13,llm-control,4,2,14,follow,follow,1,146.59,39.34,0.2683675558,3,0
P13,llm-control,4,3,15,follow,follow,1,157.59,60.86,0.3861920173,3,0
P13,llm-control,4,4,16,unfollow,unfollow,1,189.68,74.83,,3,0
P13,llm-control,5,1,17,zero_optout,follow,0,188.05,0.00,,3,0
P13,llm-control,5,2,18,follow,follow,1,114.17,26.46,0.2317596567,3,0
P13,llm-control,5,3,19,follow,follow,1,155.68,45.59,0.2928442960,3,0
P13,llm-control,5,4,20,unfollow,unfollow,1,126.86,38.63,,3,0
P14,llm-reasoning,1,1,1,follow,follow,1,111.61,93.29,0.8358570021,3,1
P14,llm-reasoning,1,2,2,decline,follow,0,156.26,,,3,1
P14,llm-reasoning,1,3,3,follow,follow,1,148.59,120.55,0.8112928192,3,1
P14,llm-reasoning,1,4,4,decline,unfollow,0,132.94,,,3,1
P14,llm-reasoning,2,1,5,follow,follow,1,70.22,3.88,0.0552549131,3,1
P14,llm-reasoning,2,2,6,follow,follow,1,86.47,49.40,0.5712964034,3,1
P14,llm-reasoning,2,3,7,follow,follow,1,160.46,87.25,0.5437492210,3,1
P14,llm-reasoning,2,4,8,unfollow,unfollow,1,127.02,26.03,,3,1
P14,llm-reasoning,3,1,9,follow,follow,1,95.01,68.17,0.7175034207,3,1
P14,llm-reasoning,3,2,10,follow,follow,1,83.44,25.63,0.3071668265,3,1
P14,llm-reasoning,3,3,11,zero_optout,follow,0,146.07,0.00,,3,1
P14,llm-reasoning,3,4,12,decline,unfollow,0,141.64,,,3,1
P14,llm-reasoning,4,1,13,follow,follow,1,178.66,78.12,0.4372551215,3,1
P14,llm-reasoning,4,2,14,follow,follow,1,112.29,49.42,0.4401104284,3,1
P14,llm-reasoning,4,3,15,decline,follow,0,188.41,,,3,1
P14,llm-reasoning,4,4,16,decline,unfollow,0,129.00,,,3,1
P14,llm-reasoning,5,1,17,decline,follow,0,177.25,,,3,1
P14,llm-reasoning,5,2,18,follow,follow,1,176.58,103.31,0.5850605958,3,1
P14,llm-reasoning,5,3,19,decline,follow,0,157.70,,,3,1
P14,llm-reasoning,5,4,20,decline,unfollow,0,115.64,,,3,1
P15,llm-reasoning,1,1,1,follow,follow,1,95.46,35.48,0.3716739996,1,0
P15,llm-reasoning,1,2,2,follow,follow,1,91.21,27.85,0.3053393268,1,0
P15,llm-reasoning,1,3,3,follow,follow,1,87.92,58.25,0.6625341219,1,0
P15,llm-reasoning,1,4,4,unfollow,unfollow,1,140.71,40.29,,1,0
P15,llm-reasoning,2,1,5,follow,follow,1,152.39,78.66,0.5161756021,1,0
P15,llm-reasoning,2,2,6,follow,follow,1,160.35,29.30,0.1827252884,1,0
P15,llm-reasoning,2,3,7,follow,follow,1,156.01,98.88,0.6338055253,1,0
P15,llm-reasoning,2,4,8,unfollow,unfollow,1,145.07,10.20,,1,0
P15,llm-reasoning,3,1,9,follow,follow,1,104.86,56.57,0.5394812130,1,0
P15,llm-reasoning,3,2,10,follow,follow,1,165.82,27.51,0.1659027862,1,0
P15,llm-reasoning,3,3,11,follow,follow,1,122.70,100.55,0.8194784026,1,0
P15,llm-reasoning,3,4,12,unfollow,unfollow,1,119.90,45.44,,1,0
P15,llm-reasoning,4,1,13,follow,follow,1,91.64,55.79,0.6087952859,1,0
P15,llm-reasoning,4,2,14,follow,follow,1,157.44,100.09,0.6357342480,1,0
P15,llm-reasoning,4,3,15,follow,follow,1,110.05,60.58,0.5504770559,1,0
P15,llm-reasoning,4,4,16,unfollow,unfollow,1,141.46,36.14,,1,0
P15,llm-reasoning,5,1,17,follow,follow,1,114.42,60.17,0.5258696032,1,0
P15,llm-reasoning,5,2,18,follow,follow,1,162.48,16.79,0.1033357952,1,0
P15,llm-reasoning,5,3,19,follow,follow,1,191.23,71.61,0.3744705329,1,0
P15,llm-reasoning,5,4,20,unfollow,unfollow,1,129.76,47.03,,1,0
P16,llm-reasoning,1,1,1,follow,follow,1,150.96,91.26,0.6045310016,3,0
P16,llm-reasoning,1,2,2,decline,follow,0,82.09,,,3,0
P16,llm-reasoning,1,3,3,follow,follow,1,62.49,26.26,0.4202272364,3,0
P16,llm-reasoning,1,4,4,unfollow,unfollow,1,92.53,20.36,,3,0
P16,llm-reasoning,2,1,5,follow,follow,1,153.51,27.43,0.1786854277,3,0
P16,llm-reasoning,2,2,6,decline,follow,0,134.00,,,3,0
P16,llm-reasoning,2,3,7,follow,follow,1,71.65,56.38,0.7868806699,3,0
P16,llm-reasoning,2,4,8,unfollow,unfollow,1,131.37,48.92,,3,0
P16,llm-reasoning,3,1,9,follow,follow,1,85.24,61.59,0.7225480995,3,0
P16,llm-reasoning,3,2,10,follow,follow,1,143.29,10.35,0.0722311396,3,0
P16,llm-reasoning,3,3,11,follow,follow,1,140.24,88.20,0.6289218483,3,0
P16,llm-reasoning,3,4,12,unfollow,unfollow,1,108.44,51.18,,3,0
P16,llm-reasoning,4,1,13,follow,follow,1,90.63,20.98,0.2314906764,3,0
P16,llm-reasoning,4,2,14,zero_optout,follow,0,153.47,0.00,,3,0
P16,llm-reasoning,4,3,15,follow,follow,1,180.30,148.23,0.8221297837,3,0
P16,llm-reasoning,4,4,16,unfollow,unfollow,1,104.79,12.92,,3,0
P16,llm-reasoning,5,1,17,zero_optout,follow,0,132.57,0.00,,3,0
P16,llm-reasoning,5,2,18,follow,follow,1,175.46,45.56,0.2596603214,3,0
P16,llm-reasoning,5,3,19,follow,follow,1,171.41,77.77,0.4537074850,3,0
P16,llm-reasoning,5,4,20,decline,unfollow,0,151.74,,,3,0
P17,llm-reasoning,1,1,1,follow,follow,1,81.83,65.92,0.8055725284,2,0
P17,llm-reasoning,1,2,2,follow,follow,1,153.71,127.16,0.8272721358,2,0
P17,llm-reasoning,1,3,3,follow,follow,1,79.38,36.68,0.4620811287,2,0
P17,llm-reasoning,1,4,4,unfollow,unfollow,1,136.38,76.81,,2,0
P17,llm-reasoning,2,1,5,follow,follow,1,80.32,52.04,0.6479083665,2,0
P17,llm-reasoning,2,2,6,follow,follow,1,163.15,31.72,0.1944223108,2,0
P17,llm-reasoning,2,3,7,follow,follow,1,103.06,63.26,0.6138171939,2,0
P17,llm-reasoning,2,4,8,unfollow,unfollow,1,132.54,40.32,,2,0
P17,llm-reasoning,3,1,9,follow,follow,1,91.54,48.32,0.5278566747,2,0
P17,llm-reasoning,3,2,10,follow,follow,1,138.51,48.38,0.3492888600,2,0
P17,llm-reasoning,3,3,11,follow,follow,1,179.70,137.35,0.7643294380,2,0
P17,llm-reasoning,3,4,12,unfollow,unfollow,1,87.06,45.87,,2,0
P17,llm-reasoning,4,1,13,follow,follow,1,165.66,52.35,0.3160086925,2,0
P17,llm-reasoning,4,2,14,follow,follow,1,90.19,17.85,0.1979155117,2,0
P17,llm-reasoning,4,3,15,follow,follow,1,143.32,133.07,0.9284817192,2,0
P17,llm-reasoning,4,4,16,decline,unfollow,0,124.38,,,2,0
P17,llm-reasoning,5,1,17,decline,follow,0,149.62,,,2,0
P17,llm-reasoning,5,2,18,follow,follow,1,130.85,47.73,0.3647688193,2,0
