id,user,month,index,created_at
70,UCLVG5H9CDR,4,3,2026-07-14T04:41:37.475315+00:00
71,UCLVG5H9CDR,4,4,2026-07-14T04:41:40.188911+00:00
72,UCLVG5H9CDR,5,1,2026-07-14T04:42:22.253370+00:00
73,UCLVG5H9CDR,5,2,2026-07-14T04:42:22.268320+00:00
74,UCLVG5H9CDR,5,3,2026-07-14T04:42:59.176234+00:00
75,UCLVG5H9CDR,5,4,2026-07-14T04:43:09.152129+00:00
76,UCL4H0D91DM,1,1,2026-07-14T12:55:07.477040+00:00
77,UCL4H0D91DM,1,2,2026-07-14T12:55:44.581348+00:00
78,UCL4H0D91DM,1,3,2026-07-14T12:55:59.891827+00:00
79,UCL4H0D91DM,1,4,2026-07-14T12:56:19.628505+00:00
80,UCL4H0D91DM,2,1,2026-07-14T12:56:39.098465+00:00
81,UCL4H0D91DM,2,2,2026-07-14T12:56:47.514568+00:00
82,UCL4H0D91DM,2,3,2026-07-14T12:57:00.298132+00:00
83,UCL4H0D91DM,2,4,2026-07-14T12:57:16.988737+00:00
84,UCL4H0D91DM,3,1,2026-07-14T12:57:32.087288+00:00
85,UCL4H0D91DM,3,2,2026-07-14T12:57:37.988924+00:00
86,UCL4H0D91DM,3,3,2026-07-14T12:57:46.823768+00:00
87,UCL4H0D91DM,4,1,2026-07-14T13:10:37.976255+00:00
88,UCL4H0D91DM,4,2,2026-07-14T13:10:37.990059+00:00
89,UCL4H0D91DM,4,3,2026-07-14T13:10:46.763430+00:00
90,UCL4H0D91DM,4,4,2026-07-14T13:11:01.156265+00:00
91,UCL4H0D91DM,5,1,2026-07-14T13:11:26.370885+00:00
92,UCL4H0D91DM,5,2,2026-07-14T13:11:26.389736+00:00
93,UCL4H0D91DM,5,3,2026-07-14T13:11:26.766376+00:00
94,UCL4H0D91DM,5,4,2026-07-14T13:11:27.137153+00:00
95,UCLKEOI14BZ,1,1,2026-07-14T15:43:30.386497+00:00
96,UCL3254LKQG,1,1,2026-07-14T16:54:24.886346+00:00
97,UCL3254LKQG,1,2,2026-07-14T16:55:23.283684+00:00
98,UCL3254LKQG,1,3,2026-07-14T16:57:37.615704+00:00
99,UCL3254LKQG,2,1,2026-07-14T16:59:21.215622+00:00
100,UCL3254LKQG,2,2,2026-07-14T17:00:06.982438+00:00
101,UCL3254LKQG,2,3,2026-07-14T17:00:38.620176+00:00
102,UCL3254LKQG,2,4,2026-07-14T17:01:33.390509+00:00
103,UCL3254LKQG,3,1,2026-07-14T17:04:22.320666+00:00
104,UCL3254LKQG,3,2,2026-07-14T17:05:32.790557+00:00
105,UCL3254LKQG,3,3,2026-07-14T17:05:54.226341+00:00
106,UCL3254LKQG,3,4,2026-07-14T17:05:56.491170+00:00
107,UCL3254LKQG,4,1,2026-07-14T17:07:13.700682+00:00
108,UCL3254LKQG,4,2,2026-07-14T17:07:33.110163+00:00
109,UCL3254LKQG,4,3,2026-07-14T17:07:47.255551+00:00
110,UCL3254LKQG,4,4,2026-07-14T17:07:47.477196+00:00
111,UCL3254LKQG,5,1,2026-07-14T17:12:14.641485+00:00
112,UCL3254LKQG,5,2,2026-07-14T17:12:39.870887+00:00
113,UCL3254LKQG,5,3,2026-07-14T17:12:43.704604+00:00
114,UCL3254LKQG,5,4,2026-07-14T17:12:58.154166+00:00
115,UCLKEOI14BZ,2,1,2026-07-14T17:16:44.357513+00:00
116,UCLXJCEEPY0,1,1,2026-07-14T18:04:39.733946+00:00
117,UCL4WVABPXK,1,1,2026-07-14T18:08:21.829032+00:00
118,UCL4WVABPXK,1,2,2026-07-14T18:08:35.446721+00:00
119,UCL4WVABPXK,1,3,2026-07-14T18:08:50.600934+00:00
120,UCL4WVABPXK,1,4,2026-07-14T18:08:59.504893+00:00
121,UCL4WVABPXK,2,1,2026-07-14T18:09:16.745215+00:00
122,UCL4WVABPXK,2,2,2026-07-14T18:09:28.196878+00:00
123,UCL4WVABPXK,2,3,2026-07-14T18:09:41.598858+00:00
124,UCL4WVABPXK,2,4,2026-07-14T18:10:16.664413+00:00
125,UCL4WVABPXK,3,1,2026-07-14T18:10:24.007623+00:00
126,UCL4WVABPXK,3,2,2026-07-14T18:12:14.723437+00:00
127,UCL4WVABPXK,3,3,2026-07-14T18:12:28.717812+00:00
128,UCL4WVABPXK,3,4,2026-07-14T18:12:30.353610+00:00
129,UCL4WVABPXK,4,1,2026-07-14T18:12:37.622550+00:00
130,UCL4WVABPXK,4,2,2026-07-14T18:12:37.642535+00:00
131,UCL4WVABPXK,4,3,2026-07-14T18:12:54.586240+00:00
132,UCL4WVABPXK,4,4,2026-07-14T18:13:22.168577+00:00
133,UCL4WVABPXK,5,1,2026-07-14T18:14:55.437582+00:00
134,UCL4WVABPXK,5,2,2026-07-14T18:15:54.609393+00:00
135,UCLPJHHYXKE,1,1,2026-07-14T18:42:00.438925+00:00
136,UCL6098GOLK,1,1,2026-07-14T18:43:26.642622+00:00
137,UCL6098GOLK,1,2,2026-07-14T18:45:28.285397+00:00
138,UCL6098GOLK,1,3,2026-07-14T18:46:56.556231+00:00
139,UCL6098GOLK,1,4,2026-07-14T18:47:20.657109+00:00
140,UCL6098GOLK,2,1,2026-07-14T18:47:26.422322+00:00
141,UCL6098GOLK,2,2,2026-07-14T18:47:59.558728+00:00
142,UCL6098GOLK,2,3,2026-07-14T18:48:17.672065+00:00
143,UCL6098GOLK,2,4,2026-07-14T18:50:41.842221+00:00
144,UCL6098GOLK,3,1,2026-07-14T18:50:50.136723+00:00
145,UCL6098GOLK,3,2,2026-07-14T18:52:34.494553+00:00
146,UCL6098GOLK,3,3,2026-07-14T18:52:37.311167+00:00
147,UCL6098GOLK,3,4,2026-07-14T18:52:37.343731+00:00
148,UCL6098GOLK,4,1,2026-07-14T18:53:08.213814+00:00
149,UCL6098GOLK,4,2,2026-07-14T18:53:08.228903+00:00
150,UCL6098GOLK,4,3,2026-07-14T18:53:08.270737+00:00
151,UCL6098GOLK,4,4,2026-07-14T18:53:08.309756+00:00
152,UCL6098GOLK,5,1,2026-07-14T18:54:50.565463+00:00
153,UCL6098GOLK,5,2,2026-07-14T18:54:56.665038+00:00
154,UCL6098GOLK,5,3,2026-07-14T18:55:02.313166+00:00
155,UCL6098GOLK,5,4,2026-07-14T18:55:37.109174+00:00
156,UCLNC2C00CG,1,1,2026-07-14T23:27:29.862674+00:00
157,UCLNC2C00CG,1,2,2026-07-14T23:28:03.518431+00:00
158,UCLNC2C00CG,1,3,2026-07-14T23:30:07.065853+00:00
159,UCLNC2C00CG,2,1,2026-07-14T23:32:27.249790+00:00
160,UCLNC2C00CG,2,2,2026-07-14T23:32:27.265118+00:00
161,UCLNC2C00CG,2,3,2026-07-14T23:32:57.378116+00:00
162,UCLNC2C00CG,2,4,2026-07-14T23:33:42.553768+00:00
163,UCLNC2C00CG,3,1,2026-07-14T23:35:40.333724+00:00
164,UCLNC2C00CG,3,2,2026-07-14T23:39:18.567097+00:00
165,UCLNC2C00CG,3,3,2026-07-14T23:39:55.394438+00:00
166,UCLNC2C00CG,3,4,2026-07-14T23:40:26.391607+00:00
167,UCLNC2C00CG,4,1,2026-07-14T23:41:28.728079+00:00
168,UCLNC2C00CG,4,2,2026-07-14T23:41:41.786096+00:00
169,UCLNC2C00CG,5,1,2026-07-14T23:46:27.724785+00:00
170,UCLNC2C00CG,5,2,2026-07-14T23:46:27.737825+00:00
171,UCLNC2C00CG,5,3,2026-07-14T23:46:28.029291+00:00
172,UCLNC2C00CG,5,4,2026-07-14T23:46:28.323065+00:00
173,UCLDE02VDS2,1,1,2026-07-15T01:09:35.321838+00:00
174,UCLDE02VDS2,1,2,2026-07-15T01:10:25.542030+00:00
175,UCLDE02VDS2,1,3,2026-07-15T01:10:59.432260+00:00
176,UCLDE02VDS2,1,4,2026-07-15T01:11:08.921632+00:00
177,UCLDE02VDS2,2,1,2026-07-15T01:11:23.808788+00:00
178,UCLDE02VDS2,2,2,2026-07-15T01:11:45.234049+00:00
179,UCLDE02VDS2,2,3,2026-07-15T01:12:13.236662+00:00
180,UCLDE02VDS2,2,4,2026-07-15T01:12:31.374953+00:00
181,UCLDE02VDS2,3,1,2026-07-15T01:12:37.873451+00:00
182,UCLDE02VDS2,3,2,2026-07-15T01:12:49.028870+00:00
183,UCLDE02VDS2,3,3,2026-07-15T01:12:51.452890+00:00
184,UCLDE02VDS2,3,4,2026-07-15T01:13:05.315948+00:00
185,UCLDE02VDS2,4,1,2026-07-15T01:13:31.210661+00:00
186,UCLDE02VDS2,4,2,2026-07-15T01:13:37.581807+00:00
187,UCLDE02VDS2,4,3,2026-07-15T01:13:40.478973+00:00
188,UCLDE02VDS2,4,4,2026-07-15T01:13:40.823800+00:00
189,UCLDE02VDS2,5,1,2026-07-15T01:14:11.661108+00:00
190,UCLDE02VDS2,5,2,2026-07-15T01:14:17.265036+00:00
191,UCLDE02VDS2,5,3,2026-07-15T01:14:33.677837+00:00
192,UCLDE02VDS2,5,4,2026-07-15T01:14:45.084045+00:00
193,UCLOWSEFP4L,1,1,2026-07-15T02:26:21.401230+00:00
194,UCLOWSEFP4L,2,1,2026-07-15T02:31:19.937341+00:00
195,UCLOWSEFP4L,3,1,2026-07-15T02:36:21.193620+00:00
196,UCLOWSEFP4L,3,2,2026-07-15T02:36:21.206932+00:00
197,UCLOWSEFP4L,3,3,2026-07-15T02:36:51.692646+00:00
198,UCLOWSEFP4L,3,4,2026-07-15T02:36:51.730683+00:00
199,UCL3GNOX0FG,1,1,2026-07-15T02:40:38.476035+00:00
200,UCLOWSEFP4L,4,1,2026-07-15T02:41:23.174940+00:00
201,UCLOWSEFP4L,4,2,2026-07-15T02:42:07.133485+00:00
202,UCLOWSEFP4L,4,3,2026-07-15T02:43:15.955149+00:00
203,UCL3GNOX0FG,1,2,2026-07-15T02:43:37.132901+00:00
204,UCLOWSEFP4L,4,4,2026-07-15T02:43:46.352552+00:00
205,UCL3GNOX0FG,2,1,2026-07-15T02:45:35.236923+00:00
206,UCLOWSEFP4L,5,1,2026-07-15T02:46:24.488757+00:00
207,UCLOWSEFP4L,5,2,2026-07-15T02:46:24.502865+00:00
208,UCL3GNOX0FG,2,2,2026-07-15T02:46:30.182375+00:00
209,UCLOWSEFP4L,5,3,2026-07-15T02:46:44.619677+00:00
210,UCLOWSEFP4L,5,4,2026-07-15T02:46:48.109436+00:00
211,UCL3GNOX0FG,3,1,2026-07-15T02:50:45.892823+00:00
212,UCL3GNOX0FG,3,2,2026-07-15T02:51:20.600409+00:00
213,UCL3GNOX0FG,3,3,2026-07-15T02:51:51.000771+00:00
214,UCL3GNOX0FG,4,1,2026-07-15T02:55:48.332206+00:00
215,UCL3GNOX0FG,4,2,2026-07-15T02:55:48.346018+00:00
216,UCL3GNOX0FG,4,3,2026-07-15T02:55:58.577167+00:00
217,UCL3GNOX0FG,4,4,2026-07-15T02:56:48.774551+00:00
218,UCL3GNOX0FG,5,1,2026-07-15T03:02:09.828903+00:00
219,UCL3GNOX0FG,5,2,2026-07-15T03:02:15.755245+00:00
220,UCL3GNOX0FG,5,3,2026-07-15T03:03:06.939028+00:00
221,UCLUKB9CQI2,1,1,2026-07-15T04:26:11.790033+00:00
222,UCLUKB9CQI2,1,2,2026-07-15T04:26:20.701474+00:00
223,UCLUKB9CQI2,1,3,2026-07-15T04:27:45.465067+00:00
224,UCLYHJPIDBL,1,1,2026-07-15T04:27:52.016228+00:00
225,UCL5N72OPCK,1,1,2026-07-15T04:32:38.854748+00:00
226,UCLUKB9CQI2,2,1,2026-07-15T04:32:46.884448+00:00
227,UCL5N72OPCK,1,2,2026-07-15T04:33:10.954919+00:00
228,UCLUKB9CQI2,2,2,2026-07-15T04:33:17.845006+00:00
229,UCLUKB9CQI2,2,3,2026-07-15T04:33:42.304382+00:00
230,UCL5N72OPCK,1,3,2026-07-15T04:33:42.351010+00:00
231,UCLUKB9CQI2,2,4,2026-07-15T04:34:13.127789+00:00
232,UCLUKB9CQI2,3,1,2026-07-15T04:34:21.592288+00:00
233,UCLUKB9CQI2,3,2,2026-07-15T04:34:30.192802+00:00
234,UCL5N72OPCK,1,4,2026-07-15T04:34:31.116676+00:00
235,UCLUKB9CQI2,3,3,2026-07-15T04:34:33.718082+00:00
236,UCL5N72OPCK,2,1,2026-07-15T04:34:44.334736+00:00
237,UCLUKB9CQI2,3,4,2026-07-15T04:34:57.460823+00:00
238,UCL5N72OPCK,2,2,2026-07-15T04:34:58.387529+00:00
239,UCLUKB9CQI2,4,1,2026-07-15T04:35:05.293457+00:00
240,UCLUKB9CQI2,4,2,2026-07-15T04:35:11.609890+00:00
241,UCLUKB9CQI2,4,3,2026-07-15T04:35:19.992902+00:00
242,UCL5N72OPCK,2,3,2026-07-15T04:35:30.484397+00:00
243,UCLUKB9CQI2,4,4,2026-07-15T04:35:39.573808+00:00
244,UCL5N72OPCK,2,4,2026-07-15T04:35:49.317600+00:00
245,UCL5N72OPCK,3,1,2026-07-15T04:35:55.632474+00:00
246,UCLUKB9CQI2,5,1,2026-07-15T04:36:11.427916+00:00
247,UCLUKB9CQI2,5,2,2026-07-15T04:36:11.447320+00:00
248,UCLUKB9CQI2,5,3,2026-07-15T04:36:11.797175+00:00
249,UCLUKB9CQI2,5,4,2026-07-15T04:36:12.086713+00:00
250,UCL5N72OPCK,3,2,2026-07-15T04:36:19.224056+00:00
251,UCL5N72OPCK,3,3,2026-07-15T04:36:46.750230+00:00
252,UCL5N72OPCK,3,4,2026-07-15T04:37:05.510327+00:00
253,UCL5N72OPCK,4,1,2026-07-15T04:37:12.590504+00:00
254,UCL5N72OPCK,4,2,2026-07-15T04:37:12.604286+00:00
255,UCL5N72OPCK,4,3,2026-07-15T04:37:21.992178+00:00
256,UCL5N72OPCK,4,4,2026-07-15T04:37:22.835779+00:00
257,UCL5N72OPCK,5,1,2026-07-15T04:37:45.451648+00:00
258,UCL5N72OPCK,5,2,2026-07-15T04:37:45.470671+00:00
259,UCL5N72OPCK,5,3,2026-07-15T04:37:57.885772+00:00
260,UCL5N72OPCK,5,4,2026-07-15T04:38:01.078463+00:00
261,UCLWCQ5GXOH,1,1,2026-07-15T04:47:38.504800+00:00
262,UCL0DHECO8C,1,1,2026-07-15T04:51:04.710688+00:00
263,UCL0DHECO8C,1,2,2026-07-15T04:52:14.521930+00:00
264,UCL0DHECO8C,1,3,2026-07-15T04:53:34.510209+00:00
265,UCL0DHECO8C,1,4,2026-07-15T04:55:07.783411+00:00
266,UCL0DHECO8C,2,1,2026-07-15T04:55:30.042910+00:00
267,UCL0DHECO8C,2,2,2026-07-15T04:55:55.080383+00:00
268,UCL0DHECO8C,2,3,2026-07-15T04:56:16.204764+00:00
269,UCL0DHECO8C,2,4,2026-07-15T04:56:33.763394+00:00
270,UCL0DHECO8C,3,1,2026-07-15T04:56:39.417761+00:00
271,UCL0DHECO8C,3,2,2026-07-15T04:56:48.075753+00:00
272,UCL0DHECO8C,3,3,2026-07-15T04:57:18.115595+00:00
273,UCL0DHECO8C,3,4,2026-07-15T04:57:41.308259+00:00
274,UCL0DHECO8C,4,1,2026-07-15T04:57:51.925704+00:00
275,UCL0DHECO8C,4,2,2026-07-15T04:57:51.940806+00:00
276,UCL0DHECO8C,4,3,2026-07-15T04:58:03.521104+00:00
277,UCL0DHECO8C,4,4,2026-07-15T04:58:20.618393+00:00
278,UCL0DHECO8C,5,1,2026-07-15T04:58:53.734284+00:00
279,UCL0DHECO8C,5,2,2026-07-15T04:58:53.748356+00:00
280,UCL0DHECO8C,5,3,2026-07-15T04:59:11.086201+00:00
281,UCL0DHECO8C,5,4,2026-07-15T04:59:18.820652+00:00
282,UCLDHZ8L5KK,1,1,2026-07-15T14:52:57.308531+00:00
283,UCLDHZ8L5KK,1,2,2026-07-15T14:53:20.108827+00:00
284,UCLDHZ8L5KK,1,3,2026-07-15T14:53:52.392436+00:00
285,UCLDHZ8L5KK,1,4,2026-07-15T14:55:39.211346+00:00
286,UCLDHZ8L5KK,2,1,2026-07-15T14:55:54.550110+00:00
287,UCLDHZ8L5KK,2,2,2026-07-15T14:56:13.355768+00:00
288,UCLDHZ8L5KK,2,3,2026-07-15T14:56:29.314661+00:00
289,UCLDHZ8L5KK,2,4,2026-07-15T14:56:45.312216+00:00
290,UCLDHZ8L5KK,3,1,2026-07-15T14:57:04.077153+00:00
291,UCLDHZ8L5KK,3,2,2026-07-15T14:57:16.500234+00:00
292,UCLDHZ8L5KK,3,3,2026-07-15T14:57:28.795156+00:00
293,UCLDHZ8L5KK,3,4,2026-07-15T14:57:46.655658+00:00
294,UCLDHZ8L5KK,4,1,2026-07-15T14:58:18.542861+00:00
295,UCLDHZ8L5KK,4,2,2026-07-15T14:58:34.296523+00:00
296,UCLDHZ8L5KK,4,3,2026-07-15T14:58:36.447505+00:00
297,UCLDHZ8L5KK,4,4,2026-07-15T14:59:08.851263+00:00
298,UCLDHZ8L5KK,5,1,2026-07-15T14:59:14.497282+00:00
299,UCLDHZ8L5KK,5,2,2026-07-15T14:59:14.510639+00:00
300,UCLDHZ8L5KK,5,3,2026-07-15T15:00:33.704861+00:00
301,UCLDHZ8L5KK,5,4,2026-07-15T15:00:34.068551+00:00
302,UCLQS91725T,1,1,2026-07-16T12:59:56.207509+00:00
303,UCLQS91725T,1,2,2026-07-16T13:01:02.508255+00:00
304,UCLQS91725T,1,3,2026-07-16T13:03:05.213196+00:00
305,UCLQS91725T,1,4,2026-07-16T13:04:48.098395+00:00
306,UCLQS91725T,2,1,2026-07-16T13:04:54.177427+00:00
307,UCLQS91725T,3,1,2026-07-16T13:09:54.606480+00:00
308,UCLQS91725T,3,2,2026-07-16T13:13:01.558852+00:00
309,UCLQS91725T,3,3,2026-07-16T13:14:07.740055+00:00
310,UCLQS91725T,3,4,2026-07-16T13:14:07.798130+00:00
311,UCLQS91725T,4,1,2026-07-16T13:14:55.535305+00:00
312,UCLQS91725T,4,2,2026-07-16T13:17:17.125145+00:00
313,UCLQS91725T,4,3,2026-07-16T13:19:50.737963+00:00
314,UCLQS91725T,5,1,2026-07-16T13:19:56.016941+00:00
315,UCLQS91725T,5,2,2026-07-16T13:19:56.040060+00:00
316,UCLQS91725T,5,3,2026-07-16T13:19:56.114213+00:00
317,UCL4XQH8LDO,1,1,2026-07-16T15:21:22.602726+00:00
318,UCL4XQH8LDO,1,2,2026-07-16T15:23:08.767796+00:00
319,UCL4XQH8LDO,1,3,2026-07-16T15:24:36.483345+00:00
320,UCL3ABJV0L4,1,1,2026-07-16T15:24:52.389685+00:00
321,UCL4XQH8LDO,2,1,2026-07-16T15:26:22.179477+00:00
322,UCL3ABJV0L4,1,2,2026-07-16T15:26:30.606866+00:00
323,UCL4XQH8LDO,2,2,2026-07-16T15:26:33.723698+00:00
324,UCL3ABJV0L4,1,3,2026-07-16T15:28:32.568947+00:00
325,UCL3ABJV0L4,2,1,2026-07-16T15:29:51.395663+00:00
326,UCL4XQH8LDO,3,1,2026-07-16T15:31:24.918264+00:00
327,UCL4XQH8LDO,3,2,2026-07-16T15:31:24.930680+00:00
328,UCL4XQH8LDO,3,3,2026-07-16T15:31:35.873140+00:00
329,UCL4XQH8LDO,3,4,2026-07-16T15:32:06.126529+00:00
330,UCL3ABJV0L4,3,1,2026-07-16T15:34:53.067089+00:00
331,UCL3ABJV0L4,3,2,2026-07-16T15:34:53.080994+00:00
332,UCL4XQH8LDO,4,1,2026-07-16T15:36:25.583542+00:00
333,UCL3ABJV0L4,3,3,2026-07-16T15:37:48.563922+00:00
334,UCL3ABJV0L4,4,1,2026-07-16T15:39:54.713167+00:00
335,UCL3ABJV0L4,4,2,2026-07-16T15:39:54.725214+00:00
336,UCL4XQH8LDO,5,1,2026-07-16T15:41:27.946108+00:00
337,UCL4XQH8LDO,5,2,2026-07-16T15:41:27.960067+00:00
338,UCL4XQH8LDO,5,3,2026-07-16T15:41:28.108025+00:00
339,UCL4XQH8LDO,5,4,2026-07-16T15:41:52.737997+00:00
340,UCL3ABJV0L4,4,3,2026-07-16T15:44:01.244239+00:00
341,UCL3ABJV0L4,5,1,2026-07-16T15:44:55.767099+00:00
342,UCLQKT3819R,1,1,2026-07-16T16:56:09.577770+00:00
343,UCLQKT3819R,1,2,2026-07-16T16:58:35.708510+00:00
344,UCLQKT3819R,1,3,2026-07-16T16:59:40.458437+00:00
345,UCLQKT3819R,1,4,2026-07-16T17:00:13.760909+00:00
346,UCLQKT3819R,2,1,2026-07-16T17:01:12.245808+00:00
347,UCLQKT3819R,2,2,2026-07-16T17:01:17.464716+00:00
348,UCLQKT3819R,2,3,2026-07-16T17:01:34.129265+00:00
349,UCLQKT3819R,2,4,2026-07-16T17:03:29.232642+00:00
350,UCLQKT3819R,3,1,2026-07-16T17:06:09.589799+00:00
351,UCLQKT3819R,3,2,2026-07-16T17:06:18.949220+00:00
352,UCLQKT3819R,3,3,2026-07-16T17:06:41.757362+00:00
353,UCLQKT3819R,3,4,2026-07-16T17:06:55.540033+00:00
354,UCLQKT3819R,4,1,2026-07-16T17:11:25.943206+00:00
355,UCLQKT3819R,4,2,2026-07-16T17:11:39.563792+00:00
356,UCLQKT3819R,4,3,2026-07-16T17:11:44.148106+00:00
357,UCLQKT3819R,4,4,2026-07-16T17:11:52.924838+00:00
358,UCLQKT3819R,5,1,2026-07-16T17:16:22.631696+00:00
359,UCLQKT3819R,5,2,2026-07-16T17:16:50.104889+00:00
360,UCLQKT3819R,5,3,2026-07-16T17:17:11.262493+00:00
361,UCLQKT3819R,5,4,2026-07-16T17:17:26.958690+00:00
362,UCLY5TYE7T0,1,1,2026-07-16T21:30:33.808069+00:00
363,UCLY5TYE7T0,1,2,2026-07-16T21:32:07.655545+00:00
364,UCLY5TYE7T0,1,3,2026-07-16T21:32:37.818745+00:00
365,UCLY5TYE7T0,1,4,2026-07-16T21:33:25.793941+00:00
366,UCLY5TYE7T0,2,1,2026-07-16T21:35:32.275873+00:00
367,UCLY5TYE7T0,2,2,2026-07-16T21:35:32.289523+00:00
368,UCLY5TYE7T0,2,3,2026-07-16T21:36:29.339762+00:00
369,UCLY5TYE7T0,2,4,2026-07-16T21:38:31.256876+00:00
370,UCLY5TYE7T0,3,1,2026-07-16T21:40:35.475482+00:00
371,UCLY5TYE7T0,3,2,2026-07-16T21:40:46.106072+00:00
372,UCLY5TYE7T0,3,3,2026-07-16T21:41:44.994879+00:00
373,UCLY5TYE7T0,3,4,2026-07-16T21:43:03.769793+00:00
374,UCLY5TYE7T0,4,1,2026-07-16T21:45:37.886710+00:00
375,UCLY5TYE7T0,4,2,2026-07-16T21:45:37.899492+00:00
376,UCLY5TYE7T0,4,3,2026-07-16T21:46:08.069484+00:00
377,UCLY5TYE7T0,4,4,2026-07-16T21:48:32.041683+00:00
378,UCLY5TYE7T0,5,1,2026-07-16T21:50:48.483247+00:00
379,UCLY5TYE7T0,5,2,2026-07-16T21:51:03.609103+00:00
380,UCLY5TYE7T0,5,3,2026-07-16T21:51:47.043003+00:00
381,UCLY5TYE7T0,5,4,2026-07-16T21:51:47.087308+00:00
382,UCL7YJM913F,1,1,2026-07-17T12:46:41.868383+00:00
383,UCL7YJM913F,1,2,2026-07-17T12:49:55.013365+00:00
384,UCL7YJM913F,1,3,2026-07-17T12:50:25.392197+00:00
385,UCL7YJM913F,2,1,2026-07-17T12:51:39.321389+00:00
386,UCL7YJM913F,2,2,2026-07-17T12:52:07.573434+00:00
387,UCL7YJM913F,2,3,2026-07-17T12:53:25.295456+00:00
388,UCL7YJM913F,2,4,2026-07-17T12:54:23.084799+00:00
389,UCL7YJM913F,3,1,2026-07-17T12:56:32.291280+00:00
390,UCL7YJM913F,3,2,2026-07-17T12:56:32.306162+00:00
391,UCL7YJM913F,3,3,2026-07-17T12:56:48.190821+00:00
392,UCL7YJM913F,3,4,2026-07-17T12:56:59.185814+00:00
393,UCL7YJM913F,4,1,2026-07-17T12:59:03.132085+00:00
394,UCL7YJM913F,4,2,2026-07-17T12:59:03.145936+00:00
395,UCL7YJM913F,4,3,2026-07-17T12:59:33.394866+00:00
396,UCL7YJM913F,4,4,2026-07-17T12:59:33.468421+00:00
397,UCL7YJM913F,5,1,2026-07-17T13:02:08.568221+00:00
398,UCL7YJM913F,5,2,2026-07-17T13:02:16.850272+00:00
399,UCL7YJM913F,5,3,2026-07-17T13:03:11.029182+00:00
400,UCL7YJM913F,5,4,2026-07-17T13:03:36.314383+00:00
401,UCL74OBTXFB,1,1,2026-07-17T15:04:40.734372+00:00
402,UCL74OBTXFB,1,2,2026-07-17T15:06:08.788054+00:00
403,UCL74OBTXFB,1,3,2026-07-17T15:07:42.921284+00:00
404,UCL74OBTXFB,1,4,2026-07-17T15:08:24.861886+00:00
405,UCL74OBTXFB,2,1,2026-07-17T15:08:49.169431+00:00
406,UCL74OBTXFB,2,2,2026-07-17T15:09:21.956018+00:00
407,UCL74OBTXFB,2,3,2026-07-17T15:10:34.662074+00:00
408,UCL74OBTXFB,2,4,2026-07-17T15:11:00.534392+00:00
409,UCL74OBTXFB,3,1,2026-07-17T15:13:06.880853+00:00
410,UCL74OBTXFB,3,2,2026-07-17T15:13:26.568165+00:00
411,UCL74OBTXFB,3,3,2026-07-17T15:13:49.427453+00:00
412,UCL74OBTXFB,3,4,2026-07-17T15:14:36.154766+00:00
